px,py,pz,E,mx,my,mz,K
-24.01023105,-33.03941315,207.51608,211.4970862,24.01023105,33.03941315,452.191027,454.0317377
14.11156789,-18.25813743,13.81146772,26.89335552,-14.11156789,18.25813743,184.7650756,186.2005078
31.3700812,-8.161012741,293.2680915,295.053991,-31.3700812,8.161012741,47.99694028,57.91709937
-30.29466079,-24.57510507,37.61985295,54.19368596,30.29466079,24.57510507,131.5359279,137.198406
11.72761322,-18.34467193,164.055436,165.4939576,-11.72761322,18.34467193,2325.260451,2325.362387
19.88018086,10.97942491,55.43344185,59.9052238,-19.88018086,-10.97942491,829.850106,830.1608084
-18.22985668,-17.82520823,229.5217861,230.9335749,18.22985668,17.82520823,13.37882358,28.79337847
36.06568472,-22.64511094,505.4117128,507.2026559,-36.06568472,22.64511094,966.1990406,967.1370744
-25.71670665,-5.01393685,781.3050444,781.7442427,25.71670665,5.01393685,73.6287834,78.15168782
-41.82171441,-5.914576992,-66.78354563,79.01949117,41.82171441,5.914576992,-40.89173804,58.78921889
33.47868872,-19.53570129,358.6638928,360.7523447,-33.47868872,19.53570129,1009.43363,1010.177568
-24.58572335,-30.30246235,-55.91028756,68.18106242,24.58572335,30.30246235,-192.5369675,196.4514721
17.72430717,40.09465698,-63.64737436,77.28338013,-17.72430717,-40.09465698,-24.47152552,50.20545931
-14.50729461,3.790995214,4.299713982,15.59874296,14.50729461,-3.790995214,-190.5262864,191.1154077
25.7893856,3.872431002,-156.2572228,158.4184579,-25.7893856,-3.872431002,-1581.295456,1581.510482
34.8155834,26.33817347,-28.97193404,52.39462942,-34.8155834,-26.33817347,-1.688440354,43.68838587
-10.41181574,5.099917301,-219.5922703,219.8981133,10.41181574,-5.099917301,8.594833026,14.43212452
-37.40291091,11.09104748,113.9580753,120.4509527,37.40291091,-11.09104748,28.93891406,48.5741683
18.12078526,-44.17267212,-1399.481275,1400.295479,-18.12078526,44.17267212,-2095.078536,2095.6225
-2.971159962,15.92123264,77.50517989,79.17933032,2.971159962,-15.92123264,2629.918879,2629.968749
37.94440082,8.427575538,-903.6989619,904.5344743,-37.94440082,-8.427575538,-300.4730043,302.9766128
35.64956899,-12.03968173,66.21828615,76.16237343,-35.64956899,12.03968173,-1.570170404,37.66047185
19.47612633,30.5654131,-1485.330908,1485.773021,-19.47612633,-30.5654131,-316.4436223,318.5123703
-1.688367137,-28.50066508,31.99892096,42.88437286,1.688367137,28.50066508,-41.68355141,50.52382558
